NAZWA,KATEGORIA
Lirra Gem tabl.powl. 5 mg 10 tabl.,Alergia - Calcium
Lirra Gem tabl.powl. 5 mg 7 tabl.,Alergia - Calcium
Loratadyna Pylox tabl. 10 mg 10 tabl. (blist.),Alergia - Calcium
Loratan pro kaps.miękkie 10 mg 10 kaps.,Alergia - Calcium
Purhinol syrop - 100 ml,Alergia - Calcium
"Zidenac krop.doust., roztw. 1 mg/ml 1 but. po 20 ml",Alergia - Calcium
Zilola tabl.powl. 5 mg 10 tabl.,Alergia - Calcium
Zilola tabl.powl. 5 mg 7 tabl.,Alergia - Calcium
Zyrtec tabl.powl. 10 mg 7 tabl.,Alergia - Calcium
Zyrtec UCB tabl.powl. 10 mg 10 tabl.,Alergia - Calcium
Zyrtec UCB tabl.powl. 10 mg 7 tabl.,Alergia - Calcium
Zyx Bio tabl.powl. 5 mg 7 tabl.,Alergia - Calcium
"Acatar Allergy aer.do nosa, roztw. 1 mg/ml 1 but. po 10 ml","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Alercium pastyl.do ssania - 12 pastyl.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
AlergoTeva (Flynise) tabl.powl. 5 mg 10 tabl.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Aleric Deslo Active roztw.doust. 500 mcg/ml 60 ml (but.),"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Aleric Deslo Active tabl.powl. 5 mg 10 tabl.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Aleric Deslo Active tabl.uleg.rozpad.w j.ust. 2,5 mg 10 tabl.","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Aleric Deslo Active tabl.uleg.rozpad.w j.ust. 5 mg 10 tabl.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Aleric Spray aer.do nosa 50 mcg/daw. 60 daw.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Aleric Spray aer.do nosa, zaw. 50 mcg/daw. 140 daw.","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Alleoptical krop.do oczu, roztw. 20 mg/ml 10 poj. (jednodawkowych)","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Allertec Fexo tabl.powl. 120 mg 10 tabl.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Allertec Ukąszenia aer.na skór., roztw. (5mg+250mcg)/ml 30 ml (but.)","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Azel-Drop Alergia krop.do oczu, roztw. 500 mcg/ml 6 ml (but.)","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Betadrin WZF krop.do nosa, roztw. (1mg+330mcg)/ml 10 ml (but.)","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Calcium + kwercetyna Duo Alergo tabl.mus. - 10 tabl.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Calcium + Kwercetyna DUO Alergo tabl.mus. - 20 tabl.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Calcium 300 mg + kwercetyna 60 mg tabl.mus. - 20 tabl.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Calcium 300 MG+Kwercetyna Zyskaj Zdrowie tabl.mus. - 20 tabl.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Calcium 300mg z kwercetyną APTEO tabl.mus. - 20 tabl.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Cetirizine Genoptim SPH tabl.powl. 10 mg 10 tabl.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Claritine Active tabl.o przedł.uwaln. 5mg+120mg 10 tabl. (blist.),"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Claritine Active tabl.o przedł.uwaln. 5mg+120mg 6 tabl. (1 blist. po 6 tabl.),"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Cromohexal aer.do nosa 2,8 mg/daw. 30 ml (2 poj. po 15 ml)","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Cromohexal krop.do oczu 20 mg/ml 10 ml,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Dasergin tabl.powl. 5 mg 10 tabl.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Delortan Allergy tabl.powl. 5 mg 10 tabl.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Dermocort aer.na skór., zaw. 1,372 mg/g 1 poj. (po 38,25 g)","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Duozinal syrop (2,5mg+58mg Ca 2+)/5 150 ml","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Dynid Gem tabl. 5 mg 10 tabl.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Fenistil - 1 mg/ml 20 ml,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Fenistil krop.doust. 1 mg/ml 20 ml,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Fenistil krop.doust., roztw. 1 mg/ml 1 but. po 20 ml","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Fenistil krop.doust., roztw. 1 mg/ml 20 ml","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Fenistil krop.doust., roztw. 1 mg/ml 20 ml (but.)","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Fenistil krop.doust., roztw. 1 mg/ml 20 ml (but.)","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Fenistil żel 1 mg/g 1 tub. po 30 g,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Fenistil żel 1 mg/g 30 g,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Fenistil żel 1 mg/g 30 g,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Fenistil żel 1 mg/g 30 g,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Fenistil żel 1 mg/g 30 g,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Fenistil żel 1 mg/g 30 g,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Fenistil żel 1 mg/g 30 g (tub.),"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Fenistil żel 1 mg/g 50 g,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Foxill żel 1 mg/g 1 tub. po 30 g,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Goldesin alerstop tabl.powl. 5 mg 10 tabl.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
HEEL Luffa compositum - Heel aer.do nosa - 20 ml,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
HEEL Luffa compositum - Heel tabl. - 50 tabl. (poj.),"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Hitaxa Fast junior tabl.uleg.rozpad.w j.ust. 2,5 mg 10 tabl.","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Hitaxa fast tabl.uleg.rozpad.w j.ust. 5 mg 10 tabl.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Kamagel żel (50mg+10mg)/g 40 g,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Laboratoria PolfaŁódź ALERGO MAX JUNIOR roztw.doust. 500 mcg/ml 60 ml (but.),"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Laboratoria PolfaŁódź Alergo Max tabl.powl. 5 mg 10 tabl.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"LEHNING Santaherba krop.doust., roztw. - 30 ml","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Lirra Gem tabl.powl. 5 mg 10 tabl.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Lirra Gem tabl.powl. 5 mg 7 tabl.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Marsjanki Mini Woda Morska do Higieny Noska aer.do nosa - 30 ml,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Momester Nasal aer.do nosa, zaw. 50 mcg/daw. 1 but. po 60 daw.","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
MOSBITO spray odstraszający kleszcze - - 90 ml,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Nasometin Control (Mometasone Sandoz) aer.do nosa, zaw. 50 mcg/daw. 1 but. po 60 daw.","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Nasometin Control aer.do nosa, zaw. 50 mcg/daw. 120 daw. (1 poj.)","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Oculosan krop.do oczu, roztw. (50mcg+200mcg)/ml 10 ml (but.)","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Panawit Calcium z witaminą C tabl.mus. - 20 tabl. (tub.),"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Polcrom 2% aer.do nosa, roztw. 20 mg/ml 15 ml (but.)","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Pronasal Control aer.do nosa, zaw. 50 mcg/daw. 1 but. po 60 daw.","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Purhinol syrop - 100 ml,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Rodzina Zdrowia Calcium+kwercetyna tabl.mus. - 20 tabl.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Starazolin Alergia krop.do oczu, roztw. 1 mg/ml 5 ml (but.)","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Starelltec Alergia krop.do oczu, roztw. 1 mg/ml 5 ml (but.)","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Vividrin krop.do oczu 20 mg/ml 10 ml,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Xylorin Alergia aer.do nosa - 20 ml,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Zaditen krop.do oczu 0,25 mg/ml 5 ml (butelka)","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Zaditen krop.do oczu, roztw. 250 mcg/ml 5 ml (but.)","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Zidenac krop.doust., roztw. 1 mg/ml 1 but. po 20 ml","Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Zyrtec tabl.powl. 10 mg 7 tabl.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Zyrtec UCB tabl.powl. 10 mg 10 tabl.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
Zyrtec UCB tabl.powl. 10 mg 7 tabl.,"Alergia - Calcium, emolienty, aer. do nosa, żel, krem"
"Amoksiklav ES prosz.do sporz.zaw.doust. (600mg+42,9mg)/5ml 100 ml",Antybiotyk - probiotyk
"Amoksiklav ES prosz.do sporz.zaw.doust. (600mg+42,9mg)/5ml 50 ml",Antybiotyk - probiotyk
Amoksiklav gran.do sporz.zaw.doust. 875mg+125mg 14 sasz.,Antybiotyk - probiotyk
Amoksiklav prosz.do sporz.roztw.do wstrz. 1g+200mg 5 fiol.,Antybiotyk - probiotyk
Amoksiklav prosz.do sporz.roztw.do wstrz. 500mg+100mg 5 fiol.,Antybiotyk - probiotyk
Amoksiklav prosz.do sporz.zaw.doust. (400mg+57mg)/5ml 140 ml (35 g),Antybiotyk - probiotyk
"Amoksiklav prosz.do sporz.zaw.doust. (400mg+57mg)/5ml 35 ml (8,75 g)",Antybiotyk - probiotyk
"Amoksiklav prosz.do sporz.zaw.doust. (400mg+57mg)/5ml 70 ml (17,5 g)",Antybiotyk - probiotyk
Amoksiklav QUICKTAB 1000mg tab.do sp.z.dous./tab.ul.roz.w 875mg+125mg 14 tabl. (7 blist. po 2 tabl.),Antybiotyk - probiotyk
Amoksiklav QUICKTAB 625mg tab.do sp.z.dous./tab.ul.roz.w 500mg+125mg 14 tabl. (7 blist. po 2 tabl.),Antybiotyk - probiotyk
Amoksiklav tabl.powl. 250mg+125mg 21 tabl.,Antybiotyk - probiotyk
Amoksiklav tabl.powl. 500mg+125mg 14 tabl. (blist.),Antybiotyk - probiotyk
Amoksiklav tabl.powl. 500mg+125mg 21 tabl. (but.),Antybiotyk - probiotyk
Amoksiklav tabl.powl. 875mg+125mg 14 tabl.,Antybiotyk - probiotyk
Amoksiklav tabl.powl. 875mg+125mg 14 tabl.,Antybiotyk - probiotyk
Amoksiklav tabl.powl. 875mg+125mg 14 tabl.,Antybiotyk - probiotyk
Amoksiklav tabl.powl. 875mg+125mg 14 tabl.,Antybiotyk - probiotyk
Amoksiklav tabl.powl. 875mg+125mg 14 tabl. (2 blist. po 7 tabl.),Antybiotyk - probiotyk
Amoksiklav tabl.powl. 875mg+125mg 20 tabl.,Antybiotyk - probiotyk
Amoksiklav tabl.powl. 875mg+125mg 20 tabl.,Antybiotyk - probiotyk
Amoksiklav tabl.powl. 875mg+125mg 20 tabl.,Antybiotyk - probiotyk
Amotaks Dis tabl. 1 g 16 tabl. (2 blist. po 8 tabl.),Antybiotyk - probiotyk
Amotaks Dis tabl. 1 g 20 tabl.,Antybiotyk - probiotyk
Amotaks Dis tabl. 500 mg 16 tabl.,Antybiotyk - probiotyk
Amotaks Dis tabl. 500 mg 20 tabl.,Antybiotyk - probiotyk
Amotaks Dis tabl. 750 mg 16 tabl. (2 blist. po 8 tabl.),Antybiotyk - probiotyk
Amotaks Dis tabl. 750 mg 20 tabl.,Antybiotyk - probiotyk
"Amotaks gran.do sporz.zaw.doust. 500 mg/5ml 100 ml (65,3 g)",Antybiotyk - probiotyk
"Amotaks gran.do sporz.zaw.doust. 500 mg/5ml 60 ml (39,2 g)",Antybiotyk - probiotyk
Amotaks kaps.twarde 500 mg 16 kaps. (2 blist. po 8 kaps.),Antybiotyk - probiotyk
Amotaks kaps.twarde 500 mg 20 kaps.,Antybiotyk - probiotyk
Amotaks tabl. 1 g 16 tabl. (2 blist. po 8 tabl.),Antybiotyk - probiotyk
Amotaks tabl. 1 g 20 tabl.,Antybiotyk - probiotyk
Amoxicillin + Clavulanic Acid Aurovitas tabl.powl. 875mg+125mg 14 tabl.,Antybiotyk - probiotyk
Amoxicillin Aurovitas tabl.do sporz.zaw.doust. 750 mg 16 tabl.,Antybiotyk - probiotyk
Amylan tabl.powl. 500mg+125mg 14 tabl.,Antybiotyk - probiotyk
Amylan tabl.powl. 875mg+125mg 14 tabl.,Antybiotyk - probiotyk
Apiclar tabl.powl. 500 mg 14 tabl.,Antybiotyk - probiotyk
"Auglavin PPH Extra prosz.do sporz.zaw.doust. (600mg+42,9mg)/5ml 1 but. po 100 ml",Antybiotyk - probiotyk
Auglavin PPH prosz.do sporz.zaw.doust. (400mg+57mg)/5ml 1 but. po 140 ml,Antybiotyk - probiotyk
Auglavin PPH prosz.do sporz.zaw.doust. (400mg+57mg)/5ml 1 but. po 70 ml,Antybiotyk - probiotyk
Auglavin PPH prosz.do sporz.zaw.doust. 875mg+125mg 14 sasz.,Antybiotyk - probiotyk
Auglavin PPH tabl.powl. 500mg+125mg 14 tabl.,Antybiotyk - probiotyk
Auglavin PPH tabl.powl. 875mg+125mg 14 tabl.,Antybiotyk - probiotyk
"Auglavin prosz.do sp.zaw.doust. (0,4g+0,057g)/5ml 35 ml (butelka)",Antybiotyk - probiotyk
"Auglavin prosz.do sp.zaw.doust. (0,4g+0,057g)/5ml 70 ml (butelka)",Antybiotyk - probiotyk
"Auglavin tabl.powl. 0,875g+0,125g 14 tabl.",Antybiotyk - probiotyk
"Augmentin ES prosz.do sporz.zaw.doust. (600mg+42,9mg)/5ml 100 ml (but.)",Antybiotyk - probiotyk
"Augmentin ES prosz.do sporz.zaw.doust. (600mg+42,9mg)/5ml 50 ml (but.)",Antybiotyk - probiotyk
Augmentin MFF prosz.do sporz.zaw.doust. (400mg+57mg)/5ml 1 but. po 140 ml,Antybiotyk - probiotyk
Augmentin MFF prosz.do sporz.zaw.doust. (400mg+57mg)/5ml 1 but. po 35 ml,Antybiotyk - probiotyk
Augmentin MFF prosz.do sporz.zaw.doust. (400mg+57mg)/5ml 1 but. po 70 ml,Antybiotyk - probiotyk
Augmentin prosz.do sporz.zaw.doust. (400mg+57mg)/5ml 140 ml (21 g),Antybiotyk - probiotyk
"Augmentin prosz.do sporz.zaw.doust. (400mg+57mg)/5ml 35 ml (5,3 g)",Antybiotyk - probiotyk
"Augmentin prosz.do sporz.zaw.doust. (400mg+57mg)/5ml 70 ml (10,6 g)",Antybiotyk - probiotyk
"Augmentin SR tabl.o przedł.uwaln. 1g+62,5mg 28 tabl. (7 blist. po 4 tabl.)",Antybiotyk - probiotyk
Augmentin tabl.powl. 250mg+125mg 21 tabl. (3 blist. po 7 tabl.),Antybiotyk - probiotyk
Augmentin tabl.powl. 500mg+125mg 14 tabl.,Antybiotyk - probiotyk
Augmentin tabl.powl. 500mg+125mg 14 tabl.,Antybiotyk - probiotyk
Augmentin tabl.powl. 500mg+125mg 14 tabl. (2 blist. po 7 tabl.),Antybiotyk - probiotyk
Augmentin tabl.powl. 875mg+125mg 14 tabl.,Antybiotyk - probiotyk
Augmentin tabl.powl. 875mg+125mg 14 tabl.,Antybiotyk - probiotyk
Augmentin tabl.powl. 875mg+125mg 14 tabl.,Antybiotyk - probiotyk
Augmentin tabl.powl. 875mg+125mg 14 tabl.,Antybiotyk - probiotyk
Augmentin tabl.powl. 875mg+125mg 14 tabl.,Antybiotyk - probiotyk
Augmentin tabl.powl. 875mg+125mg 14 tabl.,Antybiotyk - probiotyk
Augmentin tabl.powl. 875mg+125mg 14 tabl. (2 blist. po 7 tabl.),Antybiotyk - probiotyk
Augmentin tabl.powl. 875mg+125mg 20 tabl.,Antybiotyk - probiotyk
Avelox tabl.powl. 400 mg 7 tabl.,Antybiotyk - probiotyk
Azibiot tabl.powl. 500 mg 3 tabl.,Antybiotyk - probiotyk
"Azigen tabl.powl. 0,25 g 6 tabl.",Antybiotyk - probiotyk
"Azigen tabl.powl. 0,5 g 3 tabl.",Antybiotyk - probiotyk
Azimycin tabl.powl. 250 mg 6 tabl.,Antybiotyk - probiotyk
Azimycin tabl.powl. 500 mg 3 tabl.,Antybiotyk - probiotyk
Azimycin tabl.powl. 500 mg 6 tabl.,Antybiotyk - probiotyk
Azithromycin Aurovitas tabl.powl. 500 mg 6 tabl.,Antybiotyk - probiotyk
Azithromycin Genoptim tabl.powl. 500 mg 3 tabl.,Antybiotyk - probiotyk
Azithromycin Krka tabl.powl. 500 mg 3 tabl.,Antybiotyk - probiotyk
"Azitrin tabl.powl. 0,25 g 6 tabl.",Antybiotyk - probiotyk
AzitroLEK 250 tabl.powl. 250 mg 6 tabl.,Antybiotyk - probiotyk
AzitroLEK 250 tabl.powl. 250 mg 6 tabl.,Antybiotyk - probiotyk
AzitroLEK 250 tabl.powl. 250 mg 6 tabl. (1 blist. po 6 tabl.),Antybiotyk - probiotyk
"AzitroLEK 500 tabl.powl. 0,5 g 3 tabl.",Antybiotyk - probiotyk
AzitroLEK 500 tabl.powl. 500 mg 3 tabl.,Antybiotyk - probiotyk
AzitroLEK 500 tabl.powl. 500 mg 3 tabl.,Antybiotyk - probiotyk
AzitroLEK 500 tabl.powl. 500 mg 3 tabl.,Antybiotyk - probiotyk
AzitroLEK 500 tabl.powl. 500 mg 3 tabl. (blist.),Antybiotyk - probiotyk
AzitroLEK 500 tabl.powl. 500 mg 6 tabl.,Antybiotyk - probiotyk
AzitroLEK prosz.do sporz.zaw.doust. 100 mg/5ml 20 ml (but.),Antybiotyk - probiotyk
AzitroLEK prosz.do sporz.zaw.doust. 200 mg/5ml 20 ml (but.),Antybiotyk - probiotyk
AzitroLEK prosz.do sporz.zaw.doust. 200 mg/5ml 30 ml (but.),Antybiotyk - probiotyk
"AzitroLEK prosz.do sporz.zaw.doust. 200 mg/5ml 37,5 ml (but.)",Antybiotyk - probiotyk
Azitrox 500 tabl.powl. 500 mg 3 tabl. (blist.),Antybiotyk - probiotyk
Azitrox Z prosz.do sporz.zaw.doust. 200 mg/5ml 1 but. po 29 g (30 ml),Antybiotyk - probiotyk
Azycyna gran.do sporz.zaw.doust. 200 mg/5ml 20 ml (but.),Antybiotyk - probiotyk
Azycyna gran.do sporz.zaw.doust. 200 mg/5ml 30 ml,Antybiotyk - probiotyk
Azycyna tabl.powl. 250 mg 6 tabl.,Antybiotyk - probiotyk
Azycyna tabl.powl. 500 mg 12 tabl.,Antybiotyk - probiotyk
Azycyna tabl.powl. 500 mg 3 tabl.,Antybiotyk - probiotyk
Azycyna tabl.powl. 500 mg 6 tabl.,Antybiotyk - probiotyk
Azytact tabl.powl. 500 mg 3 tabl.,Antybiotyk - probiotyk
Bactrazol tabl.powl. 500 mg 3 tabl.,Antybiotyk - probiotyk
Biofuroksym prosz.do sporz.roztw./zaw.do w 250 mg 1 fiol. po 17 ml,Antybiotyk - probiotyk
Biofuroksym prosz.do sporz.roztw./zaw.do w 500 mg 1 fiol. po 17 ml,Antybiotyk - probiotyk
Biofuroksym prosz.do sporz.roztw./zaw.do w 750 mg 1 fiol. po 17 ml,Antybiotyk - probiotyk
"Biofuroksym prosz.do sporz.roztw.do wstrz. 1,5 g 1 fiol. po 26 ml",Antybiotyk - probiotyk
Bioracef tabl.powl. 125 mg 10 tabl. (2 blist. po 5 tabl.),Antybiotyk - probiotyk
Bioracef tabl.powl. 125 mg 14 tabl. (2 blist. po 7 tabl.),Antybiotyk - probiotyk
Bioracef tabl.powl. 250 mg 10 tabl. (2 blist. po 5 tabl.),Antybiotyk - probiotyk
Bioracef tabl.powl. 250 mg 14 tabl. (2 blist. po 7 tabl.),Antybiotyk - probiotyk
Bioracef tabl.powl. 500 mg 10 tabl. (2 blist. po 5 tabl.),Antybiotyk - probiotyk
Bioracef tabl.powl. 500 mg 14 tabl. (2 blist. po 7 tabl.),Antybiotyk - probiotyk
Canbiox tabl.powl. 500 mg 3 tabl.,Antybiotyk - probiotyk
Canbiox tabl.powl. 500 mg 3 tabl.,Antybiotyk - probiotyk
Canbiox tabl.powl. 500 mg 3 tabl.,Antybiotyk - probiotyk
"Ceclor gran.do sporz.zaw.doust. 0,25 g/5ml 100 ml (63,47 g)",Antybiotyk - probiotyk
"Ceclor gran.do sporz.zaw.doust. 125 mg/5ml 100 ml (63,47 g)",Antybiotyk - probiotyk
"Ceclor gran.do sporz.zaw.doust. 125 mg/5ml 75 ml (47,6 g)",Antybiotyk - probiotyk
"Ceclor gran.do sporz.zaw.doust. 250 mg/5ml 100 ml (63,47 g)",Antybiotyk - probiotyk
"Ceclor gran.do sporz.zaw.doust. 250 mg/5ml 75 ml (47,6 g)",Antybiotyk - probiotyk
